iter	Passed	Remaining
636	27571	15712
637	27595	15657
638	27624	15606
639	27650	15553
640	27678	15501
641	27719	15457
642	27749	15406
643	27778	15355
644	27812	15307
645	27839	15255
646	27871	15206
647	27901	15156
648	27929	15105
649	27966	15059
650	27999	15010
651	28031	14961
652	28067	14914
653	28098	14865
654	28138	14821
655	28171	14773
656	28213	14729
657	28246	14681
658	28291	14639
659	28347	14603
660	28385	14557
661	28419	14510
662	28459	14465
663	28491	14417
664	28541	14377
665	28586	14335
666	28624	14290
667	28672	14250
668	28703	14201
669	28738	14154
670	28771	14107
671	28805	14059
672	28838	14012
673	28873	13965
674	28907	13918
675	28950	13875
676	28981	13827
677	29009	13777
678	29040	13728
679	29079	13684
680	29118	13640
681	29159	13596
682	29217	13560
683	29278	13526
684	29330	13487
685	29377	13446
686	29418	13403
687	29465	13362
688	29506	13318
689	29545	13274
690	29576	13225
691	29608	13178
692	29644	13132
693	29675	13084
694	29709	13037
695	29742	12990
696	29775	12944
697	29805	12895
698	29840	12849
699	29873	12803
700	29906	12756
701	29940	12709
702	29971	12662
703	30004	12615
704	30043	12571
705	30075	12524
706	30106	12477
707	30141	12431
708	30185	12389
709	30234	12349
710	30274	12305
711	30310	12260
712	30351	12217
713	30390	12173
714	30432	12130
715	30473	12087
716	30513	12043
717	30543	11996
718	30579	11950
719	30607	11902
720	30641	11857
721	30672	11810
722	30707	11764
723	30736	11717
724	30766	11669
725	30796	11623
726	30829	11576
727	30859	11529
728	30897	11486
729	30929	11439
730	30972	11397
731	31016	11355
732	31056	11312
733	31096	11269
734	31141	11227
735	31177	11183
736	31251	11152
737	31297	11110
738	31334	11066
739	31387	11027
740	31426	10984
741	31468	10941
742	31522	10903
743	31589	10869
744	31632	10827
745	31674	10784
746	31713	10741
747	31748	10696
748	31789	10652
749	31855	10618
750	31905	10578
751	31959	10539
752	32001	10497
753	32040	10453
754	32077	10409
755	32112	10364
756	32157	10322
757	32219	10286
758	32271	10247
759	32317	10205
760	32356	10161
761	32387	10115
762	32419	10069
763	32449	10023
764	32482	9978
765	32511	9931
766	32546	9887
767	32581	9842
768	32626	9800
769	32665	9757
770	32699	9712
771	32728	9665
772	32767	9622
773	32803	9578
774	32838	9533
775	32874	9489
776	32911	9445
777	32943	9400
778	32972	9354
779	33021	9313
780	33066	9272
781	33115	9231
782	33158	9189
783	33198	9146
784	33226	9100
785	33260	9055
786	33292	9010
787	33329	8966
788	33361	8921
